question_id,category,skill,difficulty,question,ideal_answer,keywords
PY001,Python,Python,Easy,"What is the difference between a list and a tuple?","A list is mutable (can be modified after creation) while a tuple is immutable (cannot be changed once created). Lists use square brackets [] and tuples use parentheses (). Both are sequences that can store multiple items. Lists are used when data needs to be modified; tuples are used when data should remain constant or be used as dictionary keys.","list,tuple,mutable,immutable,brackets,parentheses,sequence,hashable"
PY002,Python,Python,Easy,"Explain what a dictionary is and provide an example of its use.","A dictionary is an unordered collection of key-value pairs enclosed in curly braces {}. Keys must be unique and hashable, while values can be any data type. Example: person = {'name': 'John', 'age': 30, 'city': 'NYC'}. Dictionaries provide fast lookup by key, making them ideal for storing structured data. Accessed via dictionary[key] or .get(key).","dictionary,key-value,mutable,hashable,lookup,curly_braces,unordered"
PY003,Python,Python,Easy,"What are sets in Python and what is their primary advantage?","Sets are unordered collections of unique, immutable elements enclosed in curly braces {}. They automatically remove duplicates. Primary advantage is O(1) average lookup time and ability to perform set operations like union (|), intersection (&), difference (-), and symmetric difference (^). Sets cannot contain mutable objects like lists or dictionaries. Use sets to remove duplicates and check membership efficiently.","set,unique,unordered,union,intersection,difference,immutable,duplicates,membership,O(1)"
PY004,Python,Python,Easy,"How do you create a function in Python? What is the syntax?","Functions are created using the def keyword followed by the function name and parentheses containing parameters. Syntax: def function_name(parameters): body. Example: def greet(name): return f'Hello, {name}!'. Functions can have default parameters like def greet(name='Guest'). Use return to send output back to caller. Functions promote code reusability and organization.","def,function,parameters,return,syntax,reusable,scope"
PY005,Python,Python,Medium,"Explain lambda functions and provide a use case.","Lambda functions are anonymous, single-expression functions created with the lambda keyword. Syntax: lambda arguments: expression. Example: square = lambda x: x**2. Lambdas return the expression value implicitly and cannot contain multiple statements. Common use cases include passing functions to higher-order functions like map(), filter(), and sorted(). Example: numbers = [1,2,3,4]; squared = list(map(lambda x: x**2, numbers)).","lambda,anonymous,expression,map,filter,sorted,higher-order,syntax"
PY006,Python,Python,Medium,"What are list comprehensions and why are they useful?","List comprehensions provide a concise way to create lists using a compact syntax: [expression for item in iterable if condition]. Example: [x**2 for x in range(10) if x % 2 == 0]. They are useful because they are more readable, faster (vectorized), and more Pythonic than using for loops. Equivalent nested loops and conditionals can be written in one line. Similar to set and dictionary comprehensions.","list comprehension,syntax,readable,vectorized,Pythonic,filter,expression"
PY007,Python,Python,Medium,"Explain the concept of decorators in Python.","Decorators are functions that modify or enhance other functions or classes without permanently changing their source code. They use the @ symbol and are applied above the function definition. Example: @decorator def function():. Decorators wrap the original function and can execute code before and after it. Common use cases include logging, authentication, timing. Example: @timer def slow_function():. Decorators are higher-order functions that take a function and return a modified function.","decorator,function,wrapper,higher-order,@,enhancement,logging"
PY008,Python,Python,Medium,"What is the difference between args and kwargs?","*args (non-keyword arguments) allows a function to accept any number of positional arguments passed as a tuple. **kwargs (keyword arguments) allows a function to accept any number of keyword arguments passed as a dictionary. Example: def function(*args, **kwargs): for arg in args:; for key, value in kwargs.items():. This provides flexibility when function doesn't know in advance how many arguments will be passed. Often used for wrapper functions and decorators.","args,kwargs,*,**,parameters,tuple,dictionary,unpacking,flexibility"
PY009,Python,Python,Hard,"Explain Python's Global Interpreter Lock (GIL) and its implications.","The GIL is a mutex that protects access to Python objects in CPython, preventing multiple threads from executing Python bytecode simultaneously. This means multi-threaded Python programs cannot achieve true parallelism on multi-core systems for CPU-bound tasks. I/O-bound operations release the GIL, so threading is useful for I/O. For CPU parallelism, use multiprocessing which spawns separate processes. GIL exists because CPython's memory management (reference counting) is not thread-safe.","GIL,threading,parallelism,multiprocessing,CPython,reference counting,CPU-bound,I/O-bound"
PY010,Python,Python,Hard,"What are iterators and generators? How do they differ?","Iterators are objects implementing __iter__() and __next__() methods, enabling iteration via for loops. Generators are a simpler way to create iterators using a function with yield statements. When a generator is called, it returns a generator object without executing the function body. Each yield returns a value and pauses execution, resuming at the next call. Generators are memory-efficient for large datasets (lazy evaluation). Difference: iterators require class definition; generators use functions.","iterator,generator,yield,__iter__,__next__,lazy evaluation,memory efficient,protocol"
PY011,Python,Python,Hard,"Explain Python's memory management and reference counting.","Python uses reference counting for memory management. Each object has a reference count tracking how many variables point to it. When reference count reaches zero, garbage collection frees the memory. This is efficient but has overhead. Python also has a cyclic garbage collector to handle circular references (objects referencing each other). del decreases reference count; assignment increases it. sys.getrefcount() shows reference count. Understanding this is crucial for avoiding memory leaks in long-running applications.","reference counting,garbage collection,memory management,del,circular references,sys.getrefcount"
PY012,Python,Python,Hard,"What is the difference between __new__ and __init__ in Python classes?","__new__() is a static method that creates and returns a new instance of a class (object creation). __init__() is an instance method that initializes the instance after creation (object initialization). __new__ receives cls parameter and must return an instance; __init__ receives self. __new__ is called first, then __init__. Overriding __new__ is rarely needed but useful for immutable types or custom metaclasses.","__new__,__init__,instance,class,creation,initialization,static method,immutable"
PY013,Python,Python,Medium,"Explain exception handling in Python with try, except, else, finally.","Exception handling uses try-except blocks. Try contains code that might raise an exception. Except catches and handles specific exceptions. Else executes if no exception occurred. Finally always executes regardless of whether an exception occurred, useful for cleanup. Syntax: try: risky_code() except SpecificError: handle_error() else: success_code() finally: cleanup(). You can have multiple except blocks for different exceptions. Raise your own exceptions using raise CustomError('message').","exception,try,except,else,finally,error handling,raise,cleanup"
PY014,Python,Python,Easy,"What is the difference between '==' and 'is' operators?","'==' compares values (equality), while 'is' compares object identity (same object in memory). Example: a = [1,2,3]; b = [1,2,3]; a == b returns True (same values); a is b returns False (different objects). For None, always use 'is None' not '== None'. For identity with integers, CPython caches small integers (-5 to 256), so 'is' may appear to work but shouldn't be relied upon. Use '==' for value comparison; use 'is' for None and object identity checks.","equality,identity,==,is,None,memory,comparison,caching"
